filename,target,prediction
HueLightHandler.java,"private StateUpdate addOsramSpecificCommands(StateUpdate lightState, OnOffType actionType) {
        if (actionType.equals(OnOffType.ON)) {
            lightState.setBrightness(254);
        } else {
            lightState.setTransitionTime(0);
        }
        return lightState;
    }","private StateUpdate addOsramSpecificCommands(StateUpdate lightState, OnOffType command) {
         if (command.isOn()) {
             lightState.setColorMode(ColorMode.HS);
             lightState.setHue(0);
             lightState.setSaturation(0);
             lightState.setBrightness(100);
         } else {
             lightState.setColorMode(ColorMode.CT);
             lightState.setHue(0);
             lightState.setSaturation(0);
             lightState.setBrightness(0);
         }
         return lightState;
     }"
EventDeserializationTest.java,"@Test
    public void test1() throws Exception {
        InputStream is = getClass().getClassLoader().getResourceAsStream(""events1.json"");
        Reader reader = new InputStreamReader(is, ""UTF-8"");
        Event[] events = mGson.fromJson(reader, Event[].class);
        is.close();
        assertThat(events).isNotNull();
        assertThat(events.length).isEqualTo(5);
        assertThat(events[0].type).isEqualTo(EventType.PING);
        assertThat(events[1].type).isEqualTo(EventType.DEVICE_DISCONNECTED);
        assertThat(events[2].type).isEqualTo(EventType.STATE_CHANGED);
        assertThat(((StateChanged.Data) events[2].data).from).isEqualTo(ModelState.IDLE);
        assertThat(events[3].type).isEqualTo(EventType.STATE_CHANGED);
        assertThat(((StateChanged.Data) events[3].data).from).isEqualTo(ModelState.SYNCING);
        assertThat(events[4].type).isEqualTo(EventType.FOLDER_SUMMARY);
        assertThat(((FolderSummary.Data) events[4].data).summary.inSyncBytes).isEqualTo(927210);
    }","@Test
        public void testFolderSummaryDeserialization() throws Exception {
            InputStream is = getClass().getResourceAsStream(""/folder-summary.json"");
            Reader reader = new InputStreamReader(is);
            Event event = mGson.fromJson(reader, Event.class);
            assertThat(event.getType()).isEqualTo(EventType.FOLDER_SUMMARY);
            assertThat(event.getModelState()).isEqualTo(ModelState.NORMAL);
            assertThat(event.getFolderSummary()).isNotNull();
            assertThat(event.getFolderSummary().getFolderID()).isEqualTo(""1"");
            assertThat(event.getFolderSummary().getFolder()).isEqualTo(""test"");
            assertThat(event.getFolderSummary().getFolderPath()).isEqualTo(""/test"");
            assertThat(event.getFolderSummary().getModified()).isEqualTo(""2015-10-11T15:00:00+00:00"");
            assertThat(event.getFolderSummary().getModifiedBy()).isEqualTo(""drew"");
            assertThat(event.getFolderSummary().getCreated()).isEqualTo(""2015-10-11T15:00:00+00:00"");
            assertThat(event.getFolderSummary().getCreatedBy()).isEqualTo(""drew"");
            assertThat(event.getFolderSummary().getDeleted()).isEqualTo(""2015-10-11T15:00:00+00:00"");
            assertThat(event.getFolderSummary().getDeletedBy()).isEqualTo(""drew"");
            assertThat(event.getFolderSummary().getDeletedAt()).isEqualTo(""2015-10-11T15:00:00+00:00"");
            assertThat(event.getFolderSummary().getDeletedAtBy()).isEqualTo(""drew"");
            assertThat(event.getFolderSummary().getDeletedAtBy()).isEqualTo(""drew"");
            assertThat(event.getFolderSummary().getDeletedAtBy()).isEqualTo(""drew"");
            assertThat(event.getFolderSummary().getDeletedAtBy()).isEqualTo(""drew"");"
CMSGateway.java,"public Locale getLocale(String lang) {
        int dash = lang.indexOf('-');

        return dash == -1 ? new Locale(lang, """") : new Locale(lang.substring(0, dash), lang.substring(dash + 1));
    }","public CMSTemplate getTemplate(
                String templateName,
                HttpServletRequest req,
                ServletConfig servletConfig,
                CMSFileLoader fileLoader,
                Locale[] locales)
                throws EBaseException {
            String templatePath = null;
            String templateFile = null;
            String templateDir = null;
            String templateExt = null;
            String templateNameExt = null;
            String templateNameNoExt = null;
            String templateNameNoExtExt = null;
            String templateNameNoExtExtExt = null;
            String templateNameNoExtExtExtExt = null;
            String templateNameNoExtExtExtExtExt = null;
            String templateNameNoExtExtExtExtExtExt = null;
            String templateNameNoExtExtExtExtExtExtExt = null;
            String templateNameNoExtExtExtExtExtExtExtExt = null;
            String templateNameNoExtExtExtExtExtExtExtExtExt = null;
            String templateNameNoExtExtExtExtExtExtExtExtExtExt = null;
            String templateNameNoExtExtExtExtExtExtExtExtExtExtExt = null;
            String templateNameNoExtExtExtExtExtExtExtExtExtExtExtExt = null;
            String templateNameNoExtExtExtExtExtExtExtExtExtExtExtExtExt = null;
            String templateNameNoExtExtExtExtExtExtExtExtExtExtExtExtExtExt = null;
            String templateNameNoExtExtExtExtExtExtExtExtExtExtExtExtExtExtExt = null;
            String templateNameNoExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExt = null;
            String templateNameNoExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExt = null;
            String templateNameNoExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExt = null;
            String templateNameNoExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExt = null;
            String templateNameNoExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExt = null;
            String templateNameNoExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExt = null;
            String templateNameNoExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExt = null;
            String templateNameNoExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExt = null;
            String templateNameNoExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExt = null;
            String templateNameNoExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExt = null;
            String templateNameNoExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExtExt = null;"
Config.java,"private Config() {
	}","public static final String[] ENCRYPTION_METHODS = {
		""OMEMO"",
		""OpenPGP"",
		""Unencrypted"",
	};

	public static final String[] ENCRYPTION_METHODS_WITH_UI = {
		""OMEMO"",
		""OpenPGP"",
		""Unencrypted"",
		""OpenPGP (with UI)"",
		""OpenPGP (with UI) (with UI)"",
	};

	public static final String[] ENCRYPTION_METHODS_WITH_UI_AND_OTR = {
		""OMEMO"",
		""OpenPGP"",
		""Unencrypted"",
		""OpenPGP (with UI)"",
		""OpenPGP (with UI) (with UI)"",
		""Otr"",
		""Otr (with UI)"",
		""Otr (with UI) (with UI)"",
	};

	public static final String[] ENCRYPTION_METHODS_WITH_UI_AND_OTR_AND_OMEMO = {
		""OMEMO"",
		""OpenPGP"",
		""Unencrypted"",
		""OpenPGP (with UI)"",
		""OpenPGP (with UI) (with UI)"",
		""Otr"",
		""Otr (with UI)"",
		""Otr (with UI) (with UI)"",
		""Omemo"",
		""Omemo (with UI)"",
		""Omemo (with UI) (with UI)"",
	};

	public static final String[] ENCRYPTION_METHODS_WITH_UI_AND_OTR_AND_OMEMO_AND_OPENPGP = {
		""OMEMO"",
		""OpenPGP"",
		""Unencrypted"",
		""OpenPGP (with UI)"",
		""OpenPGP (with UI) (with UI)"",
		""Otr"",
		""Otr (with UI)"",
		""Otr (with UI) (with UI)"",
		""Omemo"",
		""Omemo (with UI)"",
		""Omemo (with UI) (with UI)"","
MChatComponent.java,"@ModifyExpressionValue(method = ""render"", at = @At(value = ""INVOKE"",
            target = ""Lnet/minecraft/client/multiplayer/chat/ChatListener;queueSize()J""
    ))
    private long wrapMessageQueueSize(long size) {
        return isSideChat() ? 0 : size;
    }","// TODO: improve handling of chat queue (remove duplicates?)
        // TODO: improve handling of chat queue (remove duplicates?)
        // TODO: improve handling of chat queue (remove duplicates?)
        // TODO: improve handling of chat queue (remove duplicates?)
        // TODO: improve handling of chat queue (remove duplicates?)"
LostWindow.java,"private void viewStats() {
		new StatisticsWindow();
	}","private void viewStats(){
		// TODO
		this.dispose();
	}"
AppStartupState.java,"public void onDomainServicesInitialized() {
        allDomainServicesInitialized.set(true);
    }","public ReadOnlyBooleanProperty walletAndNetworkReadyProperty() {
        return walletAndNetworkReady;
    }"
DecisionUtil.java,"public static String cutString(String str, int length, boolean addPoints) {

		if (str == null) {
			return StringUtils.EMPTY;
		}

		if (str.length() > length) {
			str = str.substring(0, length);
			if (addPoints) {
				str += DOTS;
			}
			return str;
		}

		return str;
	}","public static String cutText(String str, int length, boolean addPoints) {
		if (str == null) {
			return null;
		}
		if (str.length() <= length) {
			return str;
		}
		if (addPoints) {
			return str.substring(0, length - DOTS.length()) + DOTS;
		}
		return str.substring(0, length);
	}"
TableMaximumDifferenceAttribute.java,"@Override
	public String getDefault() {
		OdfElement parentElement = (OdfElement)getOwnerElement();
		String defaultValue = null;
		if (parentElement != null) {
			defaultValue=DEFAULT_VALUE;
		}
		return defaultValue;
	}","public String getDefaultAttributeValue() {
		return TableMaximumDifferenceAttribute.DEFAULT_VALUE;
	}"
AnnotationTest.java,"@Test
    public void testUserHasAnnotation() throws ItemNotFound {
        UserProfile mike = manager.getEntity(""mike"", UserProfile.class);
        List<Annotation> annotations = Lists.newArrayList(mike.getAnnotations());
        List<String> bodies = annotations.stream().map(Annotation::getBody)
                .collect(Collectors.toList());
        assertTrue(bodies.contains(TEST_ANNOTATION_BODY));
    }","@Test
        public void testAnnotation() throws Exception {
            Annotation annotation = new Annotation();
            annotation.setBody(TEST_ANNOTATION_BODY);
            annotation.save();

            assertEquals(TEST_ANNOTATION_BODY, annotation.getBody());
            assertEquals(1, annotation.getAnnotations().size());
            assertEquals(TEST_ANNOTATION_ANNOTATION_BODY, Iterables.getOnlyElement(annotation.getAnnotations()).getBody());
        }"
