filename,target,prediction
CrosshairLayer.java,"public String getIconFilePath()
    {
        return iconFilePath;
    }","public String getIconFilePath()
    {
        return this.iconFilePath;
    }"
RestServiceImpl.java,"public boolean doRegister(String email, String password) {
        boolean ret;
        try {
            JSONUtils.createObjectMapper().readTree(
                    postForResource(false,
                            URL_S_BASE + ""/register/user"",
                            ""email"", email,
                            ""password"", password,
                            ""passwordVerification"", password));
            ret = true;
        } catch (TimeoutException e) {
            ret = false;
        } catch (IOException e) {
            notifyListenersNotOnline();
            ret = false;
        } catch (RestException e) {
            ret = false;
        }
        return ret;
    }","private void notifyListenersNotOnline() {
        doNotifyTimeout();
    }"
SimpleNode.java,"public SimpleNode()
	{
		parent = null;
		child =null;
		length = 0.0;
		lengthSE = 0.0;
		height = 0.0;
		identifier = Identifier.ANONYMOUS;

		number = 0;
		sequence = null;
	}","public SimpleNode() {
		this(null, 0, null, 0.0, 0.0, null);
	}"
AddonManagerImpl.java,"private MutableAddonRepository getDefaultRepository()
   {
      for (AddonRepository repo : getRepositories())
      {
         if (repo instanceof MutableAddonRepository)
            return (MutableAddonRepository) repo;
      }
      throw new IllegalStateException(
               ""No default mutable repository found in Furnace instance. Have you added one using furnace.addRepository(AddonRepositoryMode.MUTABLE, repository) ?"");
   }","private MutableAddonRepository assertMutableRepository(AddonRepository repository)
   {
      if (repository instanceof MutableAddonRepository)
      {
         return (MutableAddonRepository) repository;
      }
      throw new IllegalArgumentException(""Repository "" + repository + "" is not mutable"");
   }"
TerraSarXProductDirectory.java,"private void findImagesForTanDemX(final MetadataElement newRoot) throws IOException {

        String parentPath = masterProductName + '/' + getRelativePathToImageFolder();
        findImages(parentPath, newRoot);

        parentPath = slaveProductName + '/' + getRelativePathToImageFolder();
        findImages(parentPath, newRoot);
    }","private void addDopplerRateAndCentroidSpotlight(final MetadataElement dopplerSpotlightElem, final MetadataElement origProdRoot) {

        final MetadataElement dopplerCentroid = origProdRoot.getElement(""doppler"").getElement(""dopplerCentroid"");
        final MetadataElement dopplerRate = dopplerCentroid.getElement(""dopplerRate"");
        final MetadataElement dopplerRatePolynomial = dopplerRate.getElement(""dopplerRatePolynomial"");
        final MetadataElement coefficient = dopplerRatePolynomial.getElement(""coefficient"");

        dopplerSpotlightElem.setAttribute(AbstractMetadata.doppler_rate, dopplerRate.getAttributeDouble(""dopplerRate"", 0));
        dopplerSpotlightElem.setAttribute(AbstractMetadata.doppler_rate_coefficient, coefficient.getAttributeDouble(""coefficient"", 0));
    }"
NodeImpl.java,"public String getTextContent() throws DOMException {
        return getNodeValue();
    }","public boolean isSameNode(Node other) {
        return this == other;
    }"
LegacyMaterialAnalouge.java,"public static LegacyMaterialAnalouge lookupAnalouge(String material) {
		return lookupMap.get(material);
	}","public static LegacyMaterialAnalouge get(String name) {
		return lookupMap.get(name);
	}"
StoryWanderer.java,"private void onObjectiveCompleted(final Event e) {
		this.objectivesView.setObjectivesCompleted(this.part.getObjectivesCompleted());
	}","private void onObjectiveCompleted(final Event e) {
		this.objectivesView.removeObjective(e.get(""objective""));
		if (this.objectivesView.getObjectives().isEmpty()) {
			this.part.getPartEnd().run();
			this.part.removeEventListener(""objectiveCompleted"", this::onObjectiveCompleted);
			this.part = this.chapter.getParts().get(this.part.getIndex() + 1);
			this.objectivesView.setTitle(this.part.getTitle());
			this.objectivesView.setObjectives(this.part.getObjectives());
			this.part.addEventListener(""objectiveCompleted"", this::onObjectiveCompleted);
		}
			this.setX(this.getX() + this.getVelocity().x);
		this.setY(this.getY() + this.getVelocity().y);
	}"
ReliableManager.java,"public ReliableManager build() {
			if (port < 0) {
				throw new IllegalStateException(""Port not set"");
			}
			return new ReliableManager(port, connectionCommands, pingFrequency,
					timeout, threadFactory, summaryFile, summaryFrequency);
		}","public Builder addConnectionCommand(String key, String value) {
			final Map<String, String> command = new HashMap<String, String>();
			command.put(key, value);
			connectionCommands.add(command);
			return this;
		}"
HistogramData.java,"public Iterator<HistogramIterationValue> iterator() {
            return new PercentileIterator(histogram, percentileTicksPerHalfDistance);
        }","public Iterator<HistogramIterationValue> iterator() {
            return new PercentileIterator(histogram, percentileTicksPerHalfDistance);
        }"
